"asc_1","asc_2","asc_3","b_attr1","b_attr2","b_attr3","b_attr4","phi1","phi2","error_sd","timesteps","logLike"
0,0,0,0.0953101798043249,-0.105360515657826,0.182321556793955,0,1,0,0.5,10,-288.044563648107
0,0,0,0.0953101798043249,-0.105360515657826,0.182321556793955,0,1,0,0.5,10,-288.044563648107
0.0014317306522571,0.00910774770090939,0,0.0596637759738556,-0.107494848247602,0.184567911391401,0.0355343818227993,1,-0.811099368092983,0.838772543727828,10,-280.457845778386
-0.066053477067935,-0.0639010347656182,0,0.0762394962107651,-0.168202433396957,0.153063501414269,-0.00170902840621059,1.32912104310803,-0.942507654190846,0.903775246073333,10,-279.406731900707
0.203143841797646,-0.12884255976232,0,0.168854732258546,-0.178405849314406,0.0871879607799044,0.726089106875944,2.23150142982191,-0.24349044893414,3.34600643231936,10,-279.260750963512
0.00822909722220791,0.0302366189912599,0,0.133533225238185,-0.179253333213151,0.0749934144070453,0.824276159038057,2.28080409362765,-0.199647930359062,3.47702621190361,10,-278.247691836877
-0.334943786219704,-0.329476318120934,0,-1.02071247710526,-0.282308766367681,-0.217082808760163,2.4226979109103,2.48331968030066,-0.169717148058328,3.39693354286448,10,-277.290901125469
-0.117230770442852,-0.0621808841796722,0,-1.56099762852116,-0.368248618835612,-0.392637565815705,3.18319944296521,2.74241182459538,-0.193105045448475,3.25430968133844,10,-276.100471527073
-0.0182661105150141,0.00516176126424994,0,-1.74832200453313,-0.395505020805575,-0.492709623060733,3.54900855251503,2.83484262503818,-0.224033930116594,3.14285425201438,10,-275.975066132144
-0.00871142704943995,0.00642523756114087,0,-1.81794371209286,-0.399263328384176,-0.566289906080069,3.79872870967348,2.87295468518259,-0.246565201753638,3.07368343847052,10,-275.947228675041
-0.0145873924074544,-0.0352928760027136,0,-2.06738605835792,-0.407814070886983,-0.936951013632528,4.9750292416969,3.01741519100211,-0.363104618442597,2.73309447412973,10,-275.837055474635
-0.0281225086876387,-0.0666395011428216,0,-2.18819861066632,-0.388955467594494,-1.12803167402844,5.64309793302506,3.10058812623925,-0.431413050360622,2.53882281114957,10,-275.768454248848
-0.044287226323186,-0.0745031014737145,0,-2.18806858930375,-0.387544918619094,-1.12903315047688,5.64389860895951,3.10526055522519,-0.459372243081649,2.53882281114957,10,-275.74474245832
-0.0369574006332953,-0.0967180413162747,0,-2.18540794675652,-0.387072623731612,-1.12390431953927,5.6448010713921,3.09875941961526,-0.513325283344517,2.53882281114957,10,-275.711743914589
-0.0267471437673233,-0.114829332249147,0,-2.18335168359616,-0.386597018351737,-1.11893187355217,5.64704648745564,3.09723999655571,-0.570194619927189,2.53882281114957,10,-275.695816644695
-0.0239471267982162,-0.104986152613914,0,-2.16997918052764,-0.386435478286365,-1.11657106540191,5.64344028486509,3.08155475516368,-0.607604179692211,2.53882281114957,10,-275.683077924678
-0.0205904939948202,-0.10214907129047,0,-2.14970117604317,-0.395043982547861,-1.11072858101055,5.62741719418508,3.08063580267793,-0.631261557822073,2.53882281114957,10,-275.682484601139
-0.0143566308624547,-0.0801100387892723,0,-2.14033301909076,-0.392175850078558,-1.11228659545689,5.61197255078977,3.13466481064773,-0.64748101112251,2.53882281114957,10,-275.680288145327
-0.0301857790590991,-0.104241682175044,0,-2.13363943594523,-0.381319830279892,-1.12265574227807,5.59849986016442,3.23809963082334,-0.649984393015403,2.53882281114957,10,-275.679302209205
-0.00680520385133213,-0.0880949369023481,0,-2.14166282618713,-0.37312459396035,-1.12316215569248,5.60499120295673,3.25624562206902,-0.654755804544075,2.53882281114957,10,-275.667435917416
-0.0109144083550042,-0.0909598724881606,0,-2.1410185337829,-0.371840271027141,-1.12530482311358,5.60994194167897,3.24521684399449,-0.637006481897156,2.53882281114957,10,-275.661508402422
-0.0229948703438067,-0.0938673070884342,0,-2.1385512714425,-0.376858997306636,-1.11791685976771,5.61055239969102,3.25795903793175,-0.625126134635104,2.53882281114957,10,-275.657907762615
-0.0241433923436533,-0.0908514588098134,0,-2.13594454720234,-0.380577370267294,-1.10903455240675,5.60882037704589,3.25607903689128,-0.622986062294736,2.53882281114957,10,-275.657832483618
