"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_1",0.0146693816079826,0.0308496353578165,0.475512317660692,0.0321900493747286,0.455711683980797
"asc_2",0.0144280937438831,0.020444141823659,0.705732422927442,0.0279757140500785,0.515736388999967
"asc_3",0,NA,NA,NA,NA
"b_attr1",0,NA,NA,NA,NA
"b_attr2",2.09295777216836,20.0732303373047,0.104266116464511,0.173842812628614,12.0393690168809
"b_attr3",-7.21970162153587,787.390521410875,-0.00916914977411633,1.11538371229942,-6.47284117736675
"b_attr4",10.1470426754141,18.7321392066388,0.541691611592226,0.36934150981898,27.4733340435721
"phi1",1.78565803401533,NA,NA,22.143154388737,0.0806415383584011
"phi2",0.1,NA,NA,NA,NA
"error_sd",0.1,NA,NA,NA,NA
"timesteps",10,NA,NA,NA,NA
