"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_1",0.0149360160165871,0.0308685151612181,0.483859231277572,0.0322376184466451,0.463310155534812
"asc_2",0.0146390217279156,0.0181053829816253,0.808545267602038,0.0295647756884176,0.495150779501792
"asc_3",0,NA,NA,NA,NA
"b_attr1",0,NA,NA,NA,NA
"b_attr2",2.17622690030338,20.2767121029034,0.107326419059418,0.175607889960803,12.3925348729441
"b_attr3",-7.26916085174391,811.018598540803,-0.00896300142169699,1.66956079215446,-4.35393600874128
"b_attr4",10.1730045422172,19.0242029681728,0.534740118113567,0.377171223859269,26.9718469986273
"phi1",1.95936282157825,NA,NA,26.4387007182381,0.074109648672207
"phi2",0.1,NA,NA,NA,NA
"error_sd",0.1,NA,NA,NA,NA
"timesteps",22000,NA,NA,NA,NA
