"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_1",-1.40044045082555,1.84909631645845,-0.757364794013436,2.04433041309421,-0.685036255321325
"asc_2",1.3151225347202,1.3905438866486,0.945761257409733,1.1409613986539,1.15264419661503
"asc_3",0,NA,NA,NA,NA
"b_attr1",-0.0535222855162535,NA,NA,3.59837032538977,-0.01487403482032
"b_attr2",0.355284522791909,NA,NA,3.43727868321537,0.103362152311596
"b_attr3",-0.670154092759179,NA,NA,4.20882321603023,-0.159226001749551
"b_attr4",0.540663242628044,NA,NA,3.37182509454649,0.160347357133827
"phi1",12.6035364860218,11.7260143946781,1.07483549497791,9.85464627464545,1.27894356984166
"phi2",0.414365869842022,0.182256993709738,2.2735252096934,0.176020751006497,2.35407397975894
"error_sd",1.01010129335974,NA,NA,2.32213009860914e-05,43498.910503109
"timesteps",10,NA,NA,NA,NA
