"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_1",-0.167502660127252,0.234578713504706,-0.714057373854135,0.425831123401979,-0.39335466789996
"asc_2",0.0748453097012093,0.125711412013478,0.595374027722995,0.18761496205413,0.398930388502891
"asc_3",0,NA,NA,NA,NA
"b_attr1",-0.0938809783172152,838.045757523604,-0.00011202369020354,5.00685275988084,-0.0187504971325439
"b_attr2",0.123291966829719,838.04517001544,0.000147118522057048,4.55488638252529,0.0270680663523739
"b_attr3",-0.06956865587311,838.046087523973,-8.30129236431999e-05,5.14100313105008,-0.0135321170012398
"b_attr4",0.212437604574941,838.045103415215,0.00025349185110588,4.51823002174125,0.047017881682144
"phi1",1.46964895378936,3.31172820229804,0.443771005352901,4.55867381827429,0.322385196303801
"phi2",0.835101161888503,1.17312324002043,0.71186140841772,1.65667282161687,0.504083335581895
"error_sd",0.190239064118651,0.301366104192495,0.631255676972675,0.598803928655767,0.317698423498509
"timesteps",10,NA,NA,NA,NA
