"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_1",-0.000241467624113246,0.0288096919044506,-0.00838147193361492,0.0297532001577449,-0.00811568580297373
"asc_2",0.00513607388501712,0.0292872207035005,0.17536911190768,0.0311541592353748,0.164859974111747
"asc_3",0,NA,NA,NA,NA
"b_attr1",0,NA,NA,NA,NA
"b_attr2",-8.36733506137436,76.052391779703,-0.11002066950914,0.765660884152627,-10.9282519644903
"b_attr3",-7.02484943766015,34.8353144314147,-0.201658849713872,0.734686691853224,-9.56169414194804
"b_attr4",4.67839178509158,1.14926675525977,4.0707623044696,0.72028317331063,6.49521182563288
"phi1",2.56387527227328,5.77648547630001,0.44384691743664,3.02185586799197,0.848443931237854
"phi2",0.1,NA,NA,NA,NA
"error_sd",0.1,NA,NA,NA,NA
"timesteps",2200,NA,NA,NA,NA
