"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_1",0.0148019126459163,0.0307412535354498,0.481499969701861,0.0320582888951375,0.461718736590505
"asc_2",0.0130700218006214,0.0233269353125954,0.560297425507252,0.0275250500597274,0.474840982024026
"asc_3",0,NA,NA,NA,NA
"b_attr1",0,NA,NA,NA,NA
"b_attr2",-3.00174772796389,2970.59970833777,-0.00101048543145638,50.2896969441638,-0.0596891194491926
"b_attr3",-6.07545256154133,6501.27964506693,-0.000934501035677074,130.125415095006,-0.0466892079237987
"b_attr4",17.7260612046549,813.574386860692,0.0217878801138932,1.17046020377728,15.144522767583
"phi1",0.692262125543116,NA,NA,15.1619915806491,0.0456577305072925
"phi2",0.1,NA,NA,NA,NA
"error_sd",0.1,NA,NA,NA,NA
"timesteps",10,NA,NA,NA,NA
