"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_1",0.0235679144870992,0.0359688599768507,0.655231066602259,0.0392990307992594,0.599707270326456
"asc_2",0.0288537769490876,0.0361299470802322,0.798611104660998,0.0396104392930101,0.728438701112294
"asc_3",0,NA,NA,NA,NA
"b_attr1",0,NA,NA,NA,NA
"b_attr2",-8.59207989799503,30.320341484425,-0.283376752283896,0.250304615892498,-34.3264940095439
"b_attr3",-14.8308159393926,699.276585555821,-0.021208798129004,0.257106065678557,-57.6836485761273
"b_attr4",3.30774359201874,0.295820143669391,11.1816036291142,0.172690769414816,19.1541424201621
"phi1",6.34220989772489,11.8125185337444,0.536905815606326,5.0191343212233,1.26360632966266
"phi2",0.1,NA,NA,NA,NA
"error_sd",0.1,NA,NA,NA,NA
"timesteps",10,NA,NA,NA,NA
