"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_1",-0.167557135688142,0.234258900003258,-0.715264759143888,0.424594685399291,-0.394628433774603
"asc_2",0.074842165479301,0.125623372304862,0.595766250389096,0.18716977599177,0.399862451524182
"asc_3",0,NA,NA,NA,NA
"b_attr1",-0.0939208529099342,247.562785954939,-0.000379381951724478,0.606557482567168,-0.154842460293174
"b_attr2",0.12330319663182,247.562629995852,0.000498068697338875,0.248734434043834,0.49572226340841
"b_attr3",-0.069597869728162,247.562959407473,-0.000281131999289152,0.746183658516323,-0.0932717688652512
"b_attr4",0.212454208475291,247.562603810581,0.000858183769297595,0.213110731855206,0.996919332150947
"phi1",1.47023313088245,3.30742516115286,0.444524988244927,4.54039512948155,0.323811714389346
"phi2",0.834866233115786,1.17074379395696,0.713107545327275,1.64858393739535,0.506414149852034
"error_sd",0.190296396827293,0.300838398927078,0.632553548702473,0.59694967819243,0.318781303984471
"timesteps",10,NA,NA,NA,NA
