"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_1",-1.40034125086169,1.84929029554808,-0.757231708960368,2.0435550626904,-0.685247623823802
"asc_2",1.31580087295855,1.39120305861761,0.945800733263202,1.14118230063841,1.15301549298692
"asc_3",0,NA,NA,NA,NA
"b_attr1",-0.0532581253122398,54.1667252515811,-0.00098322586541606,15.6944566371326,-0.0033934354367027
"b_attr2",0.355351367982732,54.1961570349204,0.00655676319916498,15.7968823529511,0.0224950316171942
"b_attr3",-0.670525133941375,54.0469007089482,-0.0124063567965214,15.3059648158326,-0.0438080932505333
"b_attr4",0.540698617351138,54.2111060824554,0.00997394549612643,15.8515687065384,0.0341101014897102
"phi1",12.6215756529075,11.7452630810617,1.07460987172427,9.86658301972074,1.27922459352749
"phi2",0.414283344715686,0.182175902497441,2.2740842177055,0.17583358963549,2.35611037444274
"error_sd",1.01369712119116,0.0145963267545499,69.4487824394023,5.11494407185955e-05,19818.3422330683
"timesteps",10,NA,NA,NA,NA
