"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_1",-0.132051724381166,0.152066439392834,-0.868381773837919,0.204151499087762,-0.646832009420606
"asc_2",0.0605799416419357,0.0869298142827974,0.696883366676235,0.099084489847387,0.611396816345755
"asc_3",0,NA,NA,NA,NA
"b_attr1",-0.0786439781476754,NA,NA,0.955220812666805,-0.0823306790480366
"b_attr2",0.104951794143459,NA,NA,1.0077941446177,0.104140111057375
"b_attr3",-0.0441562952355898,NA,NA,0.871837561371518,-0.0506473879906321
"b_attr4",0.190110311390331,NA,NA,1.03127363708944,0.184345167522054
"phi1",2.27702693659165,6.3871651336095,0.356500401815173,6.45730292084875,0.352628173790607
"phi2",0.813487628944165,1.46244527400932,0.556251672046486,1.48180915912134,0.54898272421702
"error_sd",0.130128173662294,0.165802965370831,0.784836226368162,0.246350242714751,0.52822425595484
"timesteps",10,NA,NA,NA,NA
