"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_1",0,NA,NA,NA,NA
"asc_2",0,NA,NA,NA,NA
"asc_3",-0.0384080478013183,0.227362384743083,-0.168928769130914,0.229429404356433,-0.167406823502227
"b_attr1",0.0953101798043249,NA,NA,NA,NA
"b_attr2",-0.938652821299914,33.7784486101813,-0.0277885119039182,8.07841727493048,-0.116192663656136
"b_attr3",-0.914297098106987,15.4465486714185,-0.0591910282067577,4.01272423154312,-0.227849472166541
"b_attr4",4.9525722368139,6.35866368629562,0.778869976641135,2.83627555581793,1.74615341117153
"phi1",1.56887652473415,NA,NA,21.6469352464974,0.0724756879839606
"phi2",-0.402727556241773,0.636071030274041,-0.633148716218476,0.408295950180323,-0.986361868306332
"error_sd",1.05267709575906,NA,NA,0.0652634708348131,16.1296523506
"timesteps",10,NA,NA,NA,NA
